mouse,condition,weight,length1,width1,height1,length2,width2,height2
1,0,23.3,5.5,5,4.4,3.6,3.4,2.8
2,0,24.3,2.4,2.2,1.4,,,
3,0,23.8,4.6,4.6,2.8,,,
4,0,22.7,4.1,4,2.5,,,
6,0,24.7,4,3.9,2.4,5.5,5.1,2.7
7,0,24.1,6.5,6.1,5,,,
8,0,24.5,8,7.2,3.4,,,
9,0,26.4,8.5,5.5,4.3,,,
10,0,23,4.3,3.5,1.4,,,
12,0,23.7,7.5,6.5,4.7,,,
31,20,24.1,4.8,4.2,3,,,
32,20,22.6,4.7,4.6,2.5,,,
34,20,23.1,4.6,4.2,2.7,,,
35,20,22,7.4,6.1,2.5,,,
36,20,25.6,4.5,4,2.5,,,
37,20,23.8,4,3.3,2.2,3.6,2.6,1.6
38,20,24.8,6,5.8,2.4,,,
39,20,23.8,4.2,4,3,,,
41,20,25,3,2.8,2.2,3.1,2.5,2.1
44,20,21.9,4,3,2,,,
45,20,23.2,4.8,4.4,2.5,,,
48,20,20.4,5.6,3.7,2.5,,,
