mouse,condition,weight,length1,width1,height1,length2,width2,height2
1,0,23.4,5.6,5.4,4.8,3.8,3.5,2.8
2,0,25,3,2.8,2.2,,,
3,0,24.4,4.8,4.3,3.3,,,
4,0,23.4,4,4,3.1,,,
6,0,24.9,4.8,4.3,3.1,6.4,5.4,3
7,0,24.7,6.6,6.4,5.5,,,
8,0,24.4,8.3,7.8,4.2,,,
9,0,26,8.4,6.5,4.7,,,
10,0,23.5,4.2,3.9,2.5,,,
12,0,23.8,7.6,7.5,5,,,
31,20,23.9,4.9,4.2,3.1,,,
32,20,22.8,4.5,4.5,2.4,,,
34,20,23.2,4.5,4.1,2.5,,,
35,20,22,7.7,5.3,3.7,,,
36,20,25,3.7,3.6,2.5,,,
37,20,24.4,3.3,3.2,1.9,3.1,2.3,1.5
38,20,25.1,5.5,5.3,2.4,,,
39,20,24.1,4.3,3.7,3.1,,,
41,20,25.3,2.8,2.8,2.1,2.2,2.1,1.6
44,20,22.1,3.1,3,2.2,,,
45,20,23.4,4.5,2.9,2.2,,,
48,20,20.7,4.8,3.7,2.5,,,
