mouse,condition,weight,length1,width1,height1,length2,width2,height2
1,0,22.4,4,3.4,1.9,,,
2,0,22.3,3,2.8,1,,,
3,0,22.1,3.2,3.2,1.6,,,
4,0,22,3.2,3.2,2.2,,,
6,0,23,4.7,3.7,2.4,,,
7,0,23.3,3.8,3.3,2.4,,,
8,0,23.1,5.5,4.7,3.1,,,
9,0,24.9,3.7,3.5,2.3,,,
10,0,21.3,4.7,3.5,2.6,,,
11,0,23.3,5.2,3.7,2.5,,,
12,0,22.6,6.7,5.7,3.8,,,
31,20,23.1,7.4,4.6,4.1,2.7,1.9,1.3
32,20,21.2,7.3,5.9,4.3,4.5,3.3,2.8
33,20,21.1,7.6,4.4,4,2.3,2.3,2
34,20,22.2,6.6,5,3.8,2.7,2.7,2.1
35,20,21.6,8.4,7,3.9,,,
36,20,25.2,6.2,5.1,4.5,,,
37,20,22.6,5.6,5,3.6,5.3,4.2,4
38,20,23.9,6.9,6.9,3,3.1,2.8,2.8
39,20,21.5,6.2,5.1,4.1,3.3,3.3,2.1
40,20,20.9,6.1,4.4,4,6.2,3.4,2.5
41,20,23.6,5.7,4,3.7,4.3,3.7,2.8
44,20,21.6,4.8,4.2,3.8,3.4,2.7,2.3
45,20,21.7,9.7,5.1,4.1,,,
47,20,21.8,5.7,4.9,3.8,3.2,3.2,2.9
48,20,19.5,9.2,6.3,4.3,,,
