mouse,condition,weight,length1,width1,height1,length2,width2,height2
1,0,23.6,5.2,4.9,4,3,2.5,1.8
2,0,24.2,0,0,0,,,
3,0,22.5,4.5,4.4,2.4,,,
4,0,22.1,3.5,3,2.2,,,
6,0,24.3,3.8,3.5,2.1,4.8,4.5,2
7,0,24,5.9,4.9,4.5,,,
8,0,23.5,6.7,6.3,2.6,,,
9,0,25.1,6.9,4.5,3.2,,,
10,0,22.6,0,0,0,,,
11,0,25,7.5,5.7,4.6,,,
12,0,23.5,6.8,5.9,4.5,,,
31,20,23.3,5.7,4.7,3.5,,,
32,20,22.2,5.6,4.8,3.2,3.4,2.9,2
34,20,23.5,4.5,4.2,3.4,,,
35,20,22.1,7.2,6.1,2.3,,,
36,20,25.5,4.6,4.1,3,,,
37,20,24,3.7,3.3,2.4,3.7,2.7,2.2
38,20,24.6,6.1,6.1,2.5,2.1,1.9,1.4
39,20,23.3,4.5,4.2,3.3,1.7,1.6,1
41,20,24.9,3.9,3,2.7,3.1,2.8,2
44,20,22,4,3.2,2.3,2.3,1.9,1.7
45,20,23.3,4.6,4.6,3,,,
48,20,20,6.3,4.5,3.1,,,
