mouse,condition,weight,length1,width1,height1,length2,width2,height2
1,0,23.6,3.1,2.5,1.9,,,
2,0,23.5,0,0,0,,,
3,0,23.3,2.9,2.2,0.8,,,
4,0,22.8,2.5,2,0.4,,,
6,0,24.4,3.2,2.4,1.7,2.5,2.2,1.1
7,0,24.2,4,3.5,2.7,,,
8,0,23.8,2.5,2.2,0.8,,,
9,0,24.7,3.5,2.7,0.8,,,
10,0,22.5,0,0,0,,,
11,0,24.2,3.6,2.2,2.2,,,
12,0,23.8,0,0,0,,,
31,20,22.8,6.6,5.4,4.5,,,
32,20,22.9,6.2,6,5.2,4.8,3.8,2.7
34,20,23.8,6.2,5.4,3.9,3.5,2.6,1.7
35,20,22.4,6.9,5.8,5.2,,,
36,20,26.2,5.9,5.4,4.2,,,
37,20,23.9,5.2,4.7,3.8,5.5,4,3.4
38,20,25.1,7.1,7.1,3.7,3.7,2.7,2.5
39,20,22.4,6,4.7,3.8,2.4,2.3,1.7
41,20,24.9,5.9,4.6,3.5,3.9,3.4,3.1
44,20,21.8,5.2,4.3,4,3.4,3.2,2.3
45,20,22.1,7.5,5.3,4.2,,,
48,20,19.9,7.7,6.3,4.3,,,
