mouse,condition,weight,length1,width1,height1,length2,width2,height2
1,0,22.5,4.1,4.1,2.9,2.1,2.1,2
2,0,22.8,3.5,3.3,2.5,,,
3,0,21.9,3.7,2.9,1.7,,,
4,0,21.3,3.9,3.3,2.4,,,
6,0,22.7,5.1,4.1,2.4,,,
7,0,23.2,4.7,3.9,2.6,,,
8,0,22.5,6.2,5.2,3.1,,,
9,0,25.2,5.1,3.4,2.3,,,
10,0,20.6,5.3,3.8,3,,,
11,0,24,4.6,3.7,2.1,,,
12,0,21.6,6.6,6.1,4,,,
31,20,22.9,5,4.9,2.1,1.9,1.9,1.2
32,20,20.7,5.9,5.3,3.1,3.1,2.8,1.9
33,20,20.8,6.9,4.1,3.5,2.8,2.8,2.1
34,20,21.6,7.1,4.8,3.8,,,
35,20,21.2,8.1,5.3,4.2,,,
36,20,24.8,5.1,4.7,4.5,,,
37,20,22.8,9.9,4.5,3.6,,,
38,20,23.2,6.9,6.5,3,2.4,2.4,1.9
39,20,21.1,5.8,4.8,3.7,2.3,2.3,1.8
40,20,20.6,5.4,3.7,3.2,5.8,3.6,3.1
41,20,22.8,10,3.6,3.1,,,
44,20,21.1,4.5,4.2,3.7,3.6,3,2.5
45,20,21.8,6,5.4,3.7,,,
47,20,22.4,5.2,5.2,3.1,2.3,2.2,2
48,20,19,9.1,6.3,4,,,
