mouse,condition,weight,length1,width1,height1,length2,width2,height2
1,0,23.9,7.6,6.8,5.8,4.3,4.2,3.4
2,0,24.7,3.5,3.2,2.5,,,
3,0,24,5.6,5.1,3.4,,,
4,0,23.4,4.9,4.5,3.2,,,
6,0,24.8,5.3,4.4,3.9,7,6.3,3.2
8,0,23.7,9.3,8.3,4.5,,,
9,0,24.9,10.3,7.1,5.2,,,
10,0,23.1,5.2,3.7,2.3,,,
12,0,23.4,9.2,9,6.1,,,
31,20,23.8,4.6,4.3,2.9,,,
32,20,22.9,4.6,4,2.1,,,
34,20,23.4,3.8,3.6,2.2,,,
35,20,22.6,10.9,6.8,3.1,,,
36,20,24.5,3.9,3.6,2.7,,,
37,20,24.1,3.1,3,1.7,3.1,2.2,1.4
38,20,24.6,5.1,4.9,2.1,,,
39,20,24.9,3.8,3.1,2.7,,,
41,20,25.7,2.6,2.4,2.2,2.5,2,1.5
44,20,21.9,3,2.5,1.9,,,
45,20,22.9,3.1,2.5,1.6,,,
48,20,20.8,5.4,3.1,1.9,,,
