mouse,condition,weight,length1,width1,height1,length2,width2,height2
1,0,23.2,4.4,4.3,3.8,2.5,2.4,1.7
2,0,23.9,0,0,0,,,
3,0,23.4,3.8,3.4,2.1,,,
4,0,22.3,3.4,3.1,2.2,,,
6,0,24.9,3.4,3.1,2.2,4.8,3.3,2
7,0,24.4,5.4,4.9,4.1,,,
8,0,23.7,6.8,6.3,2.4,,,
9,0,25.4,6.3,4.3,3.2,,,
10,0,22.3,0,0,0,,,
11,0,24.8,7.6,5.9,4.1,,,
12,0,23.5,6.2,4.9,4.2,,,
31,20,23.7,6,4.9,3.1,,,
32,20,21.4,5.3,5.3,3.1,3.8,3.4,2.4
34,20,24.3,5.5,4.5,3.7,,,
35,20,22.3,8.5,7,2.3,,,
36,20,25.7,4.6,4.5,3.2,,,
37,20,24.1,3.7,3.5,2.7,4.3,2.9,2.1
38,20,23.7,4.9,4.3,3.4,2.4,2.2,1.2
39,20,23.7,4.9,4.3,3.4,2.4,2.2,1.2
41,20,25,4.4,3.7,3.2,4,2.9,2.1
44,20,22,4.5,3.1,3.1,3.3,2.5,2.2
45,20,22.8,5.7,4.9,3.1,,,
48,20,19.5,6.7,4.5,3.2,,,
