mouse,condition,weight,length1,width1,height1,length2,width2,height2
1,0,23.5,4,3.2,3.1,,,
2,0,23.3,0,0,0,,,
3,0,24,4.1,3.7,1.9,,,
4,0,22.4,2,1.8,0.8,,,
6,0,24.1,3.7,2.3,1.4,3.4,2.3,1.8
7,0,24.6,3.7,3.7,2.5,,,
8,0,24.6,4.7,3.7,1.2,,,
9,0,24.7,3.9,2.5,1.1,,,
10,0,22.2,0,0,0,,,
11,0,24.6,4.8,4.2,3,,,
12,0,23.6,4,4,0.7,,,
31,20,22.6,6.5,5.1,3.7,,,
32,20,22.8,6.2,5.5,4.1,3.6,3.4,2.1
34,20,23.7,6.4,5.2,4.1,,,
35,20,22.3,8.6,7.2,2.4,,,
36,20,25.5,5.5,4.6,3.8,,,
37,20,23.8,4.4,3.7,3.1,4.8,3.4,2.4
38,20,24.1,7.2,6.3,3.1,2.8,2.2,1.8
39,20,22.5,5.6,4.6,3.5,2,2,0.8
41,20,24.6,5.4,3.7,3.2,4.2,3.2,2.3
44,20,22.1,4.7,3.6,3.2,3.5,3.2,2.3
45,20,22.9,5.5,4.6,3.8,2.5,2.5,2
48,20,19.5,6.9,6.1,3.5,,,
