mouse,condition,weight,length1,width1,height1,length2,width2,height2
1,0,22.9,2.7,2.7,1.7,,,
2,0,23.8,2.9,2.8,1,,,
3,0,23.1,2.7,2.2,0.4,,,
4,0,22.5,0,0,0,,,
6,0,24,3.1,2.8,1.2,,,
7,0,24.1,3.3,3.2,2,,,
8,0,24,3.3,2.8,1.9,,,
9,0,25.7,0,0,0,,,
10,0,22.8,2,2,1,,,
11,0,24.9,3.4,3.2,2,,,
12,0,23.8,4.4,4.1,1.8,,,
31,20,22.9,8.1,7.1,6.1,4.1,3.8,3
32,20,22.8,8.5,6.9,6,4.7,4.3,3.2
33,20,21.9,9.3,6,5,4.2,4.1,2.9
34,20,23.5,9.1,6.9,5.9,4.6,4.2,3.1
35,20,22.6,10.8,8.8,5.7,,,
36,20,25.7,8.1,7.1,6.2,,,
37,20,23.5,6.4,5.7,4.3,8.3,5.9,4.7
38,20,24.9,9.5,9,4.7,4.1,3.5,3.2
39,20,22.8,6.7,6,5.9,3.4,3.4,2.9
40,20,22,7.9,7.5,4.9,7.6,5.8,4.8
41,20,24.8,7,6,4.7,6.4,4.8,3.8
44,20,22.2,6.4,5.4,5.1,5,5,4.2
45,20,22.7,11,7.7,5.4,,,
47,20,23.5,7.3,6.7,5.8,4.7,4.7,3.9
48,20,20.2,10.4,8.3,6.1,,,
