mouse,condition,weight,length1,width1,height1,length2,width2,height2
1,0,23.3,5.4,4.9,4.3,3,3,2.6
2,0,24.6,2,2,1.1,,,
3,0,23.4,4.7,4.4,2.6,,,
4,0,22.7,3.9,3.3,2.5,,,
6,0,24.7,3.9,3.9,2.1,5,5,2.1
7,0,24.3,6.3,6.1,4.9,,,
8,0,24.3,7.7,7.1,3.2,,,
9,0,26,7.9,5.4,4.2,,,
10,0,22.8,0,0,0,,,
11,0,25.6,8.6,6.4,5.6,,,
12,0,24.4,6.8,6.2,4.9,,,
31,20,24.1,5.4,4.1,3.3,,,
32,20,23.1,5.1,4.9,2.9,3.2,2.7,1.9
34,20,23.5,4.7,4.4,3.3,,,
35,20,22.5,7.4,6.1,2.5,,,
36,20,25.8,4.5,3.9,2.9,,,
37,20,24,4.2,3.9,2.8,3.8,2.7,2.2
38,20,24.9,6,5.9,2.4,,,
39,20,24.1,4.1,3.9,2.9,,,
41,20,25.4,3.8,3,2.9,3.3,2.7,2
44,20,22.2,3.9,3,2.4,2.5,2.3,1.2
45,20,22.9,4.6,4.4,2.9,,,
48,20,20.1,5.6,4.1,2.8,,,
