mouse,condition,weight,length1,width1,height1,length2,width2,height2
2,0,24.9,3.6,3.3,3,,,
3,0,23.5,6.2,5.8,4,,,
4,0,24,5,4.4,3.4,,,
6,0,24.9,6.2,5.8,4.3,10.2,6.8,3.5
8,0,24.5,10.3,9.6,5.4,,,
10,0,23.1,4,2.9,2.1,7.4,7.2,2.5
31,20,24.6,3.8,3.7,2.1,,,
32,20,23.8,3.5,3.2,1,,,
34,20,23.5,3.5,2.4,1.9,,,
35,20,22.5,11.6,7.7,4.8,,,
36,20,25.5,3.2,3.2,2.4,,,
37,20,25,2.8,2.8,1.4,2,1.5,1.4
38,20,25.9,4.2,3.9,1.6,,,
39,20,25.4,3.6,3,2.4,,,
41,20,26.1,2.3,2.2,2.2,2.4,2.1,1.3
44,20,23.2,2.2,1.9,1.6,,,
45,20,23.4,3.2,1.6,1,,,
48,20,21.4,4.7,3.2,2.1,,,
