mouse,condition,weight,length1,width1,height1,length2,width2,height2
2,0,25.5,3.4,3.4,3,,,
3,0,23.6,6,5.4,3.8,,,
4,0,23.9,4.8,4.5,3.3,,,
6,0,24.1,5.8,4.7,4.3,9,6.4,3
8,0,24.3,9.5,8.8,4.4,,,
10,0,23,6.1,5.3,2.3,,,
12,0,24.2,10.7,9.2,6,,,
31,20,25,4.4,4.2,2.6,,,
32,20,23.2,4.1,4,1.5,,,
34,20,23.8,3.9,3.6,2.4,,,
35,20,22.8,11.4,7.3,4.4,,,
36,20,25.6,3.4,3.3,2.5,,,
37,20,24.1,3.3,3,1.4,2.4,1.9,1.4
38,20,25.7,4.8,4.6,1.9,,,
39,20,25.3,3.5,3.2,2.5,,,
41,20,25.6,2.5,2.5,2.2,2.5,2.2,1.5
44,20,22.8,2.6,2,2,,,
45,20,23.9,3.3,2.3,1.2,,,
48,20,21.6,4.4,3.2,2,,,
