mouse,condition,weight,length1,width1,height1,length2,width2,height2
1,0,,2.9,2.7,1.6,,,
2,0,,2.7,2.7,0.4,,,
3,0,,2.5,2.3,1,,,
4,0,,2.4,1.7,0.8,,,
6,0,,4.2,2.6,1,,,
7,0,,3,2.3,1,,,
8,0,,3.9,3.3,1.7,,,
9,0,,3.6,3.2,1.2,,,
10,0,,2.7,2.1,0.7,,,
11,0,,3.6,3.2,1.3,,,
12,0,,3,2.1,1.3,,,
31,20,,7.4,6.7,5.2,3.2,2.8,2.5
32,20,,7.5,6.3,5.1,5.8,4.1,2.9
33,20,,8.2,5.4,4.4,3.4,3.4,2.9
34,20,,7.5,6.8,4.8,4.1,3.3,3.1
35,20,,9.9,8.6,5.5,,,
36,20,,7.2,6.4,5.2,,,
37,20,,5.8,5.7,4.2,7.4,4.8,4.6
38,20,,8.1,8.1,4.4,4,3.5,3.5
39,20,,5.5,5.5,5.6,3.6,3.3,2.4
40,20,,5.8,5.7,4.4,7.4,5.5,4.5
41,20,,6.7,5.5,4.7,4.6,4.4,3.3
44,20,,6.1,5.2,5,4.3,3.7,3.4
45,20,,10.1,5.6,4.9,,,
47,20,,6.8,6.2,4.8,4,3.3,2.9
48,20,,9.4,7.6,5.5,,,
