mouse,condition,weight,length1,width1,height1,length2,width2,height2
2,0,25.8,3.9,3.7,3,,,
3,0,24.1,6.5,5.7,4.1,,,
4,0,25.4,5.1,4.6,3.5,,,
8,0,25.1,10.9,9.8,5.3,,,
10,0,23.2,4.7,4.1,2,7.5,7.4,2.1
31,20,25,3.6,3.4,2,,,
32,20,24,3.4,3.3,1.1,,,
34,20,24,3.5,2.4,1.9,,,
35,20,23.8,11.9,8,5.1,,,
36,20,26,2.7,2.6,2.2,,,
37,20,24.7,2,1.4,1.2,,,
38,20,26.2,4.4,3.2,1.5,,,
39,20,25,3.8,2.5,1.4,,,
41,20,26.5,2.4,2.3,1.8,1.8,1.3,0.8
44,20,23.7,2.2,2,1.1,,,
45,20,23.5,2.1,1.5,0.7,,,
48,20,21.7,4.4,2.9,1.7,,,
