mouse,condition,weight,length1,width1,height1,length2,width2,height2
1,0,22.8,4.6,4.4,1.1,,,
2,0,21.9,3.6,3.6,0.5,,,
3,0,22.8,4.7,3,1,,,
4,0,22.3,3,2.4,1.3,,,
6,0,23.8,5,3.5,1.9,,,
7,0,23.4,4.3,3.1,0.9,,,
8,0,22.9,5.5,4.9,2,,,
9,0,24.9,3.7,3.2,1.1,,,
10,0,21.5,3.2,2.2,1.8,,,
11,0,23.7,3.9,2.8,1.9,,,
12,0,23.4,5.7,4.6,3,,,
31,20,21.9,5.9,5.9,4.4,4.4,3.1,2.3
32,20,21.6,9.4,5.7,4,3.8,3.1,2.6
33,20,21.9,8.1,4.8,3.9,3,3,2.9
34,20,22.6,7.3,5.4,4.4,3.3,2.7,2
35,20,21.6,9.4,7.1,4.8,,,
36,20,25.6,6.5,5.6,5.3,,,
37,20,23.4,6.3,4.7,3.9,6,4.2,4.2
38,20,23.7,8.2,7.8,3.8,3.8,3,3
39,20,21.7,5.9,5.9,4.3,2.6,2.6,2
40,20,21.2,6.4,5.2,4.1,7.1,4.9,3.5
41,20,23.9,6.2,4.8,3.6,5.4,4.8,3
44,20,21.7,4.8,4.2,3.7,3.5,3.2,3
45,20,21.7,9.7,5.3,4.5,,,
47,20,22.8,6.5,5.1,4.6,4,3.2,2.8
48,20,19.5,9.3,6.7,4.7,,,
