mouse,condition,weight,length1,width1,height1,length2,width2,height2
1,0,22.7,11.4,5.6,4.7,,,
2,0,23.1,8,7,3.4,,,
3,0,23.2,7.7,6.9,4.6,,,
4,0,22.3,8.4,6.7,4.6,,,
5,0,,,,,,,
6,0,24,10.1,6.8,5.5,,,
7,0,21.9,8.4,6.5,5.3,,,
8,0,24.3,12,9.4,5.7,,,
9,0,25.3,8.3,7,5.9,,,
10,0,20.8,11.7,10.1,5.6,,,
11,0,24.4,10.1,6,4.6,,,
12,0,22.2,11.1,9.3,6,,,
13,10,20.7,7.3,5.1,4.5,3.6,3.1,2.6
14,10,20.2,5.8,5.4,3.8,7.5,6.5,5.1
15,10,21.3,11.1,7.5,3.9,,,
16,10,23.6,12.4,8.2,6.3,,,
17,10,22.3,7.6,6.4,5.4,5.4,4.6,3.7
18,10,23.7,8.6,7.3,6,,,
19,10,20.7,8.5,8,5.1,,,
20,10,20.9,7.3,5.7,4.7,6.3,4.1,3.2
21,10,23.5,6.8,6.4,4.5,3.5,3.4,3
22,10,19.1,11.8,9.1,7.2,9.5,5.8,4.7
23,10,21.9,9.5,5.8,4.7,,,
24,10,25.1,10.5,7.5,4.8,,,
25,10,22.7,7.3,6.3,5,5,4.7,4.2
26,10,22.4,13.7,6.1,5.2,,,
27,10,21.6,12.9,8.1,5.5,,,
28,10,23.6,9.9,9.5,6.1,,,
29,10,21.1,9.7,7.7,6,4.5,4.5,3
30,10,20.5,8.4,7.2,6,4.3,4.3,2.9
31,20,22.5,8.7,7.2,5.1,,,
32,20,20.6,8.6,7.4,5.3,4.7,4.7,3.3
33,20,21.7,8.1,5.4,4.7,,,
34,20,21.8,10.2,6.2,5.4,,,
35,20,23.1,13.2,9,6.4,,,
36,20,26.9,7.9,7.8,6.3,,,
37,20,22.8,11.8,7.5,5,,,
38,20,24,10.8,9,4.9,3.8,3.5,2.5
39,20,21.2,9.5,6.8,5.3,3.3,3.2,2.5
40,20,21.6,6.7,5.1,4.3,9.4,7,4.6
41,20,23.1,8.2,5.9,5,5.8,5.4,3.8
42,20,22.8,10.6,8.2,5.9,,,
43,20,21.1,7.3,5.8,5.1,5.1,4,2.6
44,20,22,7.3,5.3,5,4.3,4.2,2.4
45,20,22.8,8.2,8,5.4,,,
46,20,22,9.9,8.5,5,,,
47,20,21.3,7.7,6.9,5.6,4.9,3.9,2.5
48,20,19.9,12.5,8.5,5.3,,,
