mouse,condition,weight,length1,width1,height1,length2,width2,height2
1,0,22.2,8.9,4.6,3.4,,,
2,0,22.5,7.1,5.6,3.9,,,
3,0,22.1,6.1,5.4,4,,,
4,0,20.9,6.5,5.2,4.2,,,
6,0,22.2,7.1,5.3,4.3,,,
7,0,22,6.7,5.2,4.4,,,
8,0,23,10.6,8.4,5.2,,,
9,0,23.8,6.4,5.6,4.9,,,
10,0,20.5,10.1,6.2,4.8,,,
11,0,24.4,7.6,4.2,2.9,,,
12,0,22,11.4,8.4,4.8,,,
31,20,22.3,6.6,5.8,4.3,,,
32,20,20.4,7.1,6,4.2,3.7,3.6,2.7
33,20,21.1,4.6,3.9,2.9,2.9,2.9,2.4
34,20,21.2,7.4,5.1,3.7,,,
35,20,21.8,9.8,8.5,6.2,,,
36,20,25.4,7.5,6,4.5,,,
37,20,21.9,9.4,6.1,3.7,,,
38,20,23.1,8.8,6.3,4.8,,,
39,20,20.9,6.6,4.9,4.4,,,
40,20,20.3,5.1,3.8,2.9,5.5,3.5,2.3
41,20,23,6.9,4,3.7,3.9,3.7,2.8
44,20,21.2,5.9,4.4,3.4,,,
45,20,21.9,6.4,5.3,4,,,
47,20,20.8,6.8,4.2,3.1,,,
48,20,19.1,9.5,7.1,5.4,,,
