mouse,condition,weight,length1,width1,height1,length2,width2,height2
1,0,22.7,4.5,4.3,3.2,3,2.4,1.6
2,0,23.3,0,0,0,,,
3,0,22.9,4.1,3.9,2.3,,,
4,0,22.2,2.3,2.2,1.8,,,
6,0,24.6,3.7,3,1.8,3.4,2.3,1.8
7,0,24.2,4.6,4.4,3.7,,,
8,0,23.7,4.8,4.4,2.3,,,
9,0,25.3,3.3,2.8,2.3,,,
10,0,22.2,0,0,0,,,
11,0,23.8,5.2,4.7,4,,,
12,0,23.3,4.8,4.2,3,,,
31,20,22.7,6.2,4.6,3.4,,,
32,20,22.9,5.5,5.4,3.2,3.9,3.7,2.5
34,20,24.1,5.7,4.5,3.7,,,
35,20,22.5,7.9,6,3.1,,,
36,20,25.2,5,4.8,3,,,
37,20,23.6,4.2,4,2.8,4.2,4,2
38,20,24.1,7,6.1,2.7,2.4,2.1,1.6
39,20,22.8,5.1,4,3.2,2.2,2.2,0.8
41,20,24.2,4.9,3.2,2.9,3.9,3.2,2
44,20,22.1,4.7,3.6,3,3.2,3,1.9
45,20,23.8,5.5,4.6,3.2,,,
48,20,19.3,6.7,5,3.3,,,
