mouse,condition,weight,length1,width1,height1,length2,width2,height2
1,0,23.6,3.5,3.5,2.6,4.4,3.5,2.8
2,0,23.6,5.2,4.5,3.3,,,
3,0,23.2,4.5,3.8,3.3,,,
4,0,22.5,4.4,4.4,2.8,,,
6,0,22.8,5.7,4.6,3.5,,,
7,0,23.1,4.1,4.1,3.1,,,
8,0,23.5,7.4,5.6,4.4,,,
9,0,25.9,4.9,4.4,2.7,,,
10,0,21.7,6.6,4.3,3,,,
11,0,25.1,6.3,3.7,2.8,,,
12,0,23.1,7.2,6.2,4.2,,,
31,20,23.2,5.5,5.4,3.7,2,1.9,1.5
32,20,21.5,5.8,4.9,2.7,,,
33,20,21.9,5.6,3.3,2.8,2.4,2.4,2.3
34,20,22.6,6.3,4.2,3,,,
35,20,23,7.2,7,5.5,,,
36,20,26.2,5.5,4.8,3.5,,,
37,20,22.9,10.5,4.8,3.8,,,
38,20,24.5,6.2,5.3,3.6,3.2,2.3,1.6
39,20,22.3,5.2,4,2.3,2.3,2.3,2
40,20,21.1,4.1,3.8,3.1,5.6,3.9,3.2
41,20,23.9,10.5,3.5,3.3,,,
44,20,22.4,4.8,3.3,3.2,2,2,1.2
45,20,22.9,6,4.8,3.5,,,
47,20,23,4.7,4,3,,,
48,20,20.2,9,6.2,4.2,,,
