"cell","dose","ave_rate","sd","sem","rel_rate","mask","plog"
"HME WT",0,-0.292049086737826,0.0728630468798065,0.0420674997300326,-0.404721509247364,0,-3
"PIG",0,-1.20020160557506,0.103323460450443,0.0596538277046671,-1.66323891177069,0,-3
"E LR",0,0.721605054500149,0.0379095503058765,0.0218870890739555,1,0,-3
"HME WT",0.01,-0.234340937210538,0.0903760538153746,0.0521786389986027,-0.364253875285281,1,-2
"PIG",0.01,-0.700427502560864,0.287482084473741,0.165977858858109,-1.08872754031434,1,-2
"E LR",0.01,0.643345076361929,0.0738696671971419,0.042648672241218,1,1,-2
"HME WT",0.1,0.230891863062819,0.100997385581172,0.0583108677527379,0.351183920307109,1,-1
"PIG",0.1,-1.1128966323214,0.499752324478038,0.288532139065536,-1.69270322934193,1,-1
"E LR",0.1,0.657467069850196,0.065799604452004,0.0379894193429354,1,1,-1
"HME WT",1,0.373829228302568,0.0285202609418021,0.0164661803321078,0.537105006216413,1,0
"PIG",1,-1.07919567747697,0.539166387806068,0.311287859137831,-1.55055131374278,1,0
"E LR",1,0.696007715392514,0.0325756142535803,0.018807539658322,1,1,0
"HME WT",10,0.548943996363337,0.0867465852727114,0.0500831643584808,0.76772041528691,1,1
"PIG",10,-0.850788206340249,0.406009363642003,0.234409615392219,-1.18986176990707,1,1
"E LR",10,0.715031130386427,0.0851851681024875,0.0491816797349347,1,1,1
"HME WT",100,0.418677482035268,0.0823252637412521,0.0475305131821188,0.622290896277708,1,2
"PIG",100,-1.23580652899204,0.38564154851918,0.222650251848253,-1.83681039833787,1,2
"E LR",100,0.672800268394777,0.0824110293136156,0.0475800299584101,1,1,2
"HME WT",1000,0.175677154201818,0.0741928314950441,0.0428352512356043,0.268231137639502,1,3
"PIG",1000,-1.2612897873791,0.451749450025592,0.260817666578541,-1.92578936116601,1,3
"E LR",1000,0.654946907908675,0.0326367343591029,0.0188428273676984,1,1,3
"HME WT",10000,-0.560166732249509,0.0978003857807591,0.0564650790573705,-1.4887933934865,1,4
"PIG",10000,-1.68110703268854,NA,NA,-4.46799300979478,1,4
"E LR",10000,-0.376255519872838,0.0465558849303608,0.0268790526969051,-1,1,4
