Gene	DMSO	osi	EntrezID	Symbol	HumanGene	Control	Treatment	Diff	Rank	RandomIndex	Label	group	rank
SMAD3	-0.212804407713499	0.621195853387634	4088	SMAD3	SMAD3	-0.212804407713499	0.621195853387634	0.834000261101133	18811	18548		top	65
SMAD4	-0.429873278236915	0.51884487226953	4089	SMAD4	SMAD4	-0.429873278236915	0.51884487226953	0.948718150506444	18897	16195		top	89
MARS	-1.70997245179063	-0.914874120696038	84174	MARS	MARS	-1.70997245179063	-0.914874120696038	0.795098331094595	18770	18281		top	275
MAX	-0.885774104683196	-0.0448509811181044	4149	MAX	MAX	-0.885774104683196	-0.0448509811181044	0.840923123565091	18823	11347		top	213
ME2	-0.359526170798898	0.469141058867086	4200	ME2	ME2	-0.359526170798898	0.469141058867086	0.828667229665984	18802	7770		top	106
MT1B	-0.752418732782369	0.0546195853387634	4490	MT1B	MT1B	-0.752418732782369	0.0546195853387634	0.807038318121133	18782	3819		top	201
MYO1F	-0.399669421487603	0.75775638652351	4542	MYO1F	MYO1F	-0.399669421487603	0.75775638652351	1.15742580801111	18972	18885		top	38
MYH9	-1.03447933884298	-0.0687643465383191	4627	MYH9	MYH9	-1.03447933884298	-0.0687643465383191	0.965714992304656	18909	16588		top	218
MYL6	-0.0808870523415978	0.925425768233987	4637	MYL6	MYL6	-0.0808870523415978	0.925425768233987	1.00631282057559	18932	12945		top	16
NF1	-0.529289256198347	1.38309885227693	4763	NF1	NF1	-0.529289256198347	1.38309885227693	1.91238810847528	18998	18504		top	8
NF2	-0.518512396694215	1.19548315438726	4771	NF2	NF2	-0.518512396694215	1.19548315438726	1.71399555108148	18996	169		top	9
CNOT4	-0.475581267217631	0.617900777489819	4850	CNOT4	CNOT4	-0.475581267217631	0.617900777489819	1.09348204470745	18957	13522		top	66
P2RY1	-0.0890148760330579	0.712402813772677	5028	P2RY1	P2RY1	-0.0890148760330579	0.712402813772677	0.801417689805735	18777	1781		top	44
FURIN	-0.597013774104683	1.39892632358386	5045	FURIN	FURIN	-0.597013774104683	1.39892632358386	1.99594009768854	19000	6412		top	6
PAWR	0.00917487603305785	1.63365420214735	5074	PAWR	PAWR	0.00917487603305785	1.63365420214735	1.62447932611429	18994	10042		top	3
PLCG1	-0.342986225895317	0.435634950018512	5335	PLCG1	PLCG1	-0.342986225895317	0.435634950018512	0.778621175913828	18749	14768		top	115
PLRG1	-1.12154269972452	-0.289124398370974	5356	PLRG1	PLRG1	-1.12154269972452	-0.289124398370974	0.832418301353544	18808	2191		top	239
PPP3R1	-0.147724517906336	0.635847834135505	5534	PPP3R1	PPP3R1	-0.147724517906336	0.635847834135505	0.783572352041841	18755	5842		top	61
MAP2K7	-0.191735537190083	0.839142910033321	5609	MAP2K7	MAP2K7	-0.191735537190083	0.839142910033321	1.0308784472234	18939	12180		top	23
PTEN	0.438589531680441	2.28396890040726	5728	PTEN	PTEN	0.438589531680441	2.28396890040726	1.84537936872682	18997	17005		top	1
PTGIS	-0.497223140495868	0.324055905220289	5740	PTGIS	PTGIS	-0.497223140495868	0.324055905220289	0.821279045716157	18795	10718		top	141
PTK6	-0.451382920110193	0.461551277304702	5753	PTK6	PTK6	-0.451382920110193	0.461551277304702	0.912934197414895	18871	681		top	108
PTPRJ	-0.699493112947658	0.241253239540911	5795	PTPRJ	PTPRJ	-0.699493112947658	0.241253239540911	0.940746352488569	18891	4966		top	163
RASA1	-0.623526170798898	0.758348759718623	5921	RASA1	RASA1	-0.623526170798898	0.758348759718623	1.38187493051752	18991	6456		top	37
RASA2	-0.603768595041322	0.379035542391707	5922	RASA2	RASA2	-0.603768595041322	0.379035542391707	0.982804137433029	18920	1020		top	129
RBBP5	-1.00925619834711	-0.180174009626064	5929	RBBP5	RBBP5	-1.00925619834711	-0.180174009626064	0.829082188721043	18803	4781		top	227
RBBP8	-0.918865013774105	-0.00782987782302851	5932	RBBP8	RBBP8	-0.918865013774105	-0.00782987782302851	0.911035135951076	18866	4971		top	208
RECQL	-0.531944903581267	0.295075897815624	5965	RECQL	RECQL	-0.531944903581267	0.295075897815624	0.827020801396891	18800	11260		top	148
REL	-0.551261707988981	0.230090707145502	5966	REL	REL	-0.551261707988981	0.230090707145502	0.781352415134482	18753	321		top	164
RLF	-0.373046831955923	0.444539059607553	6018	RLF	RLF	-0.373046831955923	0.444539059607553	0.817585891563476	18788	10766		top	112
BRD2	-0.350898071625344	0.646325435024065	6046	BRD2	BRD2	-0.350898071625344	0.646325435024065	0.99722350664941	18928	10651		top	56
RPL27	-1.83118457300275	-1.0404479822288	6155	RPL27	RPL27	-1.83118457300275	-1.0404479822288	0.790736590773951	18764	11707		top	279
RPL37A	-1.85553719008264	-0.26078304331729	6168	RPL37A	RPL37A	-1.85553719008264	-0.26078304331729	1.59475414676535	18993	3365		top	234
RPL38	-1.54898071625344	-0.710246205109219	6169	RPL38	RPL38	-1.54898071625344	-0.710246205109219	0.838734511144225	18820	718		top	270
RPS27	-1.53234159779614	-0.645325805257312	6232	RPS27	RPS27	-1.53234159779614	-0.645325805257312	0.887015792538831	18854	4141		top	268
SAG	-0.0389002754820937	0.91693817104776	6295	SAG	SAG	-0.0389002754820937	0.91693817104776	0.955838446529854	18903	4629		top	17
SEMG2	-0.55302479338843	0.363013698630137	6407	SEMG2	SEMG2	-0.55302479338843	0.363013698630137	0.916038492018567	18874	15956		top	131
MAP2K4	0.129851239669421	1.11856719733432	6416	MAP2K4	MAP2K4	0.129851239669421	1.11856719733432	0.988715957664899	18923	1346		top	10
SNAPC3	-0.943504132231405	0.103804146612366	6619	SNAPC3	SNAPC3	-0.943504132231405	0.103804146612366	1.04730827884377	18942	11943		top	192
SNRPC	-0.70003305785124	0.0845094409477971	6631	SNRPC	SNRPC	-0.70003305785124	0.0845094409477971	0.784542498799037	18756	1740		top	198
SPRR2E	-0.724132231404959	0.448065531284709	6704	SPRR2E	SPRR2E	-0.724132231404959	0.448065531284709	1.17219776268967	18974	17954		top	111
SUPT5H	-1.19415977961433	-0.355451684561274	6829	SUPT5H	SUPT5H	-1.19415977961433	-0.355451684561274	0.838708095053052	18819	14077		top	247
TADA2A	-0.752407713498623	0.00537171417993336	6871	TADA2A	TADA2A	-0.752407713498623	0.00537171417993336	0.757779427678556	18723	15436		top	205
TAF5	-0.981465564738292	0.0714503887449093	6877	TAF5	TAF5	-0.981465564738292	0.0714503887449093	1.0529159534832	18945	10013		top	199
TBCD	-1.26181818181818	-0.292817475009256	6904	TBCD	TBCD	-1.26181818181818	-0.292817475009256	0.969000706808926	18911	4078		top	240
TFAP2C	-0.559195592286501	0.285209181784524	7022	TFAP2C	TFAP2C	-0.559195592286501	0.285209181784524	0.844404774071026	18826	8656		top	152
TGFBR1	0.181013774104683	1.41456867826731	7046	TGFBR1	TGFBR1	0.181013774104683	1.41456867826731	1.23355490416263	18982	17104		top	5
TIAL1	-0.247206611570248	0.711551277304702	7073	TIAL1	TIAL1	-0.247206611570248	0.711551277304702	0.95875788887495	18905	14905		top	45
TOP2B	-0.398027548209366	0.443687523139578	7155	TOP2B	TOP2B	-0.398027548209366	0.443687523139578	0.841715071348944	18824	1360		top	113
TPP2	-0.286280991735537	0.628628285820067	7174	TPP2	TPP2	-0.286280991735537	0.628628285820067	0.914909277555604	18873	4387		top	64
TRAF2	-0.720837465564738	0.201740096260644	7186	TRAF2	TRAF2	-0.720837465564738	0.201740096260644	0.922577561825382	18880	12431		top	170
TSC2	-0.286292011019284	0.934838948537579	7249	TSC2	TSC2	-0.286292011019284	0.934838948537579	1.22113095955686	18980	17523		top	15
UBA52	-1.71911845730028	-0.823620881155128	7311	UBA52	UBA52	-1.71911845730028	-0.823620881155128	0.895497576145148	18858	5400		top	274
UBE2D3	-0.749575757575758	0.597704553868937	7323	UBE2D3	UBE2D3	-0.749575757575758	0.597704553868937	1.34728031144469	18987	15883		top	70
VLDLR	-0.316517906336088	0.663106256941873	7436	VLDLR	VLDLR	-0.316517906336088	0.663106256941873	0.979624163277961	18916	7045		top	52
XPNPEP1	-0.269410468319559	0.730636801184746	7511	XPNPEP1	XPNPEP1	-0.269410468319559	0.730636801184746	1.00004726950431	18929	12777		top	41
XPO1	-1.60297520661157	-0.452647167715661	7514	XPO1	XPO1	-1.60297520661157	-0.452647167715661	1.15032803889591	18971	12156		top	257
VEZF1	-0.197002754820937	0.653045168456127	7716	VEZF1	VEZF1	-0.197002754820937	0.653045168456127	0.850047923277064	18830	9882		top	54
AIMP2	-0.525454545454546	0.530572010366531	7965	AIMP2	AIMP2	-0.525454545454546	0.530572010366531	1.05602655582108	18947	16155		top	84
ELL	-1.23878787878788	-0.381127360236949	8178	ELL	ELL	-1.23878787878788	-0.381127360236949	0.85766051855093	18832	6399		top	249
CHAF1B	-1.16462809917355	-0.359977786005183	8208	CHAF1B	CHAF1B	-1.16462809917355	-0.359977786005183	0.80465031316837	18779	10495		top	248
LZTR1	-0.198556473829201	0.676675305442429	8216	LZTR1	LZTR1	-0.198556473829201	0.676675305442429	0.87523177927163	18845	4926		top	50
CUL3	-0.587900826446281	0.245566456867827	8452	CUL3	CUL3	-0.587900826446281	0.245566456867827	0.833467283314108	18810	7659		top	161
CDK10	-0.85833608815427	0.00948445020362828	8558	CDK10	CDK10	-0.85833608815427	0.00948445020362828	0.867820538357898	18839	838		top	204
EIF3D	-1.29608815426997	-0.460227693446872	8664	EIF3D	EIF3D	-1.29608815426997	-0.460227693446872	0.835860460823101	18816	18796		top	258
CDS2	-0.42099173553719	0.565253609774158	8760	CDS2	CDS2	-0.42099173553719	0.565253609774158	0.986245345311348	18922	18693		top	76
DDX18	-1.91217630853995	-0.929470566456868	8886	DDX18	DDX18	-1.91217630853995	-0.929470566456868	0.982705742083077	18919	13238		top	277
UBA3	-1.5203305785124	-0.651156978896705	9039	UBA3	UBA3	-1.5203305785124	-0.651156978896705	0.869173599615692	18840	5396		top	269
NFS1	-0.981564738292011	-0.193594964827842	9054	NFS1	NFS1	-0.981564738292011	-0.193594964827842	0.787969773464169	18761	6743		top	228
SMC3	-1.98534435261708	-0.918715290633099	9126	SMC3	SMC3	-1.98534435261708	-0.918715290633099	1.06662906198398	18951	10043		top	276
DGKI	-0.318743801652893	0.494002221399482	9162	DGKI	DGKI	-0.318743801652893	0.494002221399482	0.812746023052374	18785	2106		top	99
ATG5	-0.748209366391185	0.10122176971492	9474	ATG5	ATG5	-0.748209366391185	0.10122176971492	0.849431136106105	18829	536		top	195
ROCK2	0.0225410468319559	1.38356164383562	9475	ROCK2	ROCK2	0.0225410468319559	1.38356164383562	1.36102059700366	18988	14164		top	7
CIR1	-0.526170798898072	0.53407997038134	9541	CIR1	CIR1	-0.526170798898072	0.53407997038134	1.06025076927941	18948	16176		top	83
KEAP1	-0.460837465564738	1.46417993335802	9817	KEAP1	KEAP1	-0.460837465564738	1.46417993335802	1.92501739892275	18999	7255		top	4
CCS	-0.609994490358127	0.292808219178082	9973	CCS	CCS	-0.609994490358127	0.292808219178082	0.902802709536209	18862	392		top	149
RBX1	-1.04509090909091	-0.279942613846723	9978	RBX1	RBX1	-1.04509090909091	-0.279942613846723	0.765148295244186	18733	3037		top	236
UST	-0.369035812672176	0.520770085153647	10090	UST	UST	-0.369035812672176	0.520770085153647	0.889805897825823	18855	6801		top	88
CTDSPL	-0.456980716253444	0.42873935579415	10217	CTDSPL	CTDSPL	-0.456980716253444	0.42873935579415	0.885720072047594	18852	7018		top	118
POP7	-1.54325068870523	-0.758422806368012	10248	POP7	POP7	-1.54325068870523	-0.758422806368012	0.784827882337222	18757	1019		top	272
MICU1	-0.0816341597796143	0.738698630136986	10367	MICU1	MICU1	-0.0816341597796143	0.738698630136986	0.820332789916601	18793	1439		top	39
DLC1	-0.0297388429752066	0.729239170677527	10395	DLC1	DLC1	-0.0297388429752066	0.729239170677527	0.758978013652733	18726	16675		top	42
GNB2L1	-1.41046831955923	-0.498204368752314	10399	GNB2L1	GNB2L1	-1.41046831955923	-0.498204368752314	0.912263950806915	18868	4435		top	261
ARIH2	-0.642115702479339	0.529072565716401	10425	ARIH2	ARIH2	-0.642115702479339	0.529072565716401	1.17118826819574	18973	7427		top	85
SEC23B	-0.878909090909091	0.246177341725287	10483	SEC23B	SEC23B	-0.878909090909091	0.246177341725287	1.12508643263438	18962	3686		top	160
STK25	-0.291272727272727	0.565559052202888	10494	STK25	STK25	-0.291272727272727	0.565559052202888	0.856831779475615	18831	9956		top	75
CARM1	-0.500055096418733	0.640114772306553	10498	CARM1	CARM1	-0.500055096418733	0.640114772306553	1.14016986872529	18968	12765		top	60
POLR3F	-0.998853994490358	-0.204572380599778	10621	POLR3F	POLR3F	-0.998853994490358	-0.204572380599778	0.79428161389058	18769	5734		top	232
NUDC	-1.39834710743802	-0.426517956312477	10726	NUDC	NUDC	-1.39834710743802	-0.426517956312477	0.97182915112554	18912	4570		top	255
PLK4	-1.06379063360882	-0.282700851536468	10733	PLK4	PLK4	-1.06379063360882	-0.282700851536468	0.781089782072347	18752	11720		top	237
SIX2	-0.392374655647383	0.518428359866716	10736	SIX2	SIX2	-0.392374655647383	0.518428359866716	0.910803015514099	18865	1632		top	90
RAI1	-0.434104683195592	0.345029618659756	10743	RAI1	RAI1	-0.434104683195592	0.345029618659756	0.779134301855348	18750	1385		top	137
ARPP21	-0.229531680440771	0.539753794890781	10777	ARPP21	ARPP21	-0.229531680440771	0.539753794890781	0.769285475331553	18737	4365		top	82
AFG3L2	-1.61752066115702	-0.633339503887449	10939	AFG3L2	AFG3L2	-1.61752066115702	-0.633339503887449	0.984181157269576	18921	11422		top	267
EBNA1BP2	-1.41509641873278	-0.407904479822288	10969	EBNA1BP2	EBNA1BP2	-1.41509641873278	-0.407904479822288	1.00719193891049	18933	401		top	254
METAP2	-1.30754820936639	-0.428313587560163	10988	METAP2	METAP2	-1.30754820936639	-0.428313587560163	0.879234621806228	18849	6388		top	256
SEC23IP	-0.754787878787879	0.179257682339874	11196	SEC23IP	SEC23IP	-0.754787878787879	0.179257682339874	0.934045561127753	18888	17308		top	178
KIAA0907	-0.469002754820937	0.401592002961866	22889	KIAA0907	KIAA0907	-0.469002754820937	0.401592002961866	0.870594757782803	18842	17928		top	121
SCAP	-1.51107438016529	-0.556062569418734	22937	SCAP	SCAP	-1.51107438016529	-0.556062569418734	0.955011810746556	18901	17298		top	263
CCT5	-1.87504132231405	-0.498907811921511	22948	CCT5	CCT5	-1.87504132231405	-0.498907811921511	1.37613351039254	18989	12264		top	262
RAB21	-0.524330578512397	0.303813402443539	23011	RAB21	RAB21	-0.524330578512397	0.303813402443539	0.828143980955936	18801	1151		top	146
CIC	0.213641873278237	1.10894113291374	23152	CIC	CIC	0.213641873278237	1.10894113291374	0.895299259635499	18857	9238		top	11
MPRIP	-0.428066115702479	0.595686782673084	23164	MPRIP	MPRIP	-0.428066115702479	0.595686782673084	1.02375289837556	18936	15686		top	71
METAP1	-1.9504132231405	-1.19390966308775	23173	METAP1	METAP1	-1.9504132231405	-1.19390966308775	0.756503560052751	18719	9528		top	281
PHLDB1	-0.0672793388429752	0.768076638282118	23187	PHLDB1	PHLDB1	-0.0672793388429752	0.768076638282118	0.835355977125093	18814	4686		top	36
DNAJC9	-1.22269972451791	-0.10734912995187	23234	DNAJC9	DNAJC9	-1.22269972451791	-0.10734912995187	1.11535059456604	18959	11367		top	222
UFL1	-0.611272727272727	0.209570529433543	23376	UFL1	UFL1	-0.611272727272727	0.209570529433543	0.82084325670627	18794	12364		top	168
ICE1	-0.169487603305785	0.617623102554609	23379	ICE1	ICE1	-0.169487603305785	0.617623102554609	0.787110705860395	18760	10449		top	67
RHOQ	-0.993608815426997	-0.0606442058496853	23433	RHOQ	RHOQ	-0.993608815426997	-0.0606442058496853	0.932964609577312	18885	405		top	216
DNPEP	-0.228903581267218	0.557238059977786	23549	DNPEP	DNPEP	-0.228903581267218	0.557238059977786	0.786141641245004	18758	10695		top	80
TMEM2	-0.866347107438016	0.101684561273602	23670	TMEM2	TMEM2	-0.866347107438016	0.101684561273602	0.968031668711619	18910	2136		top	194
SMPX	-0.391724517906336	0.561338393187708	23676	SMPX	SMPX	-0.391724517906336	0.561338393187708	0.953062911094044	18899	11452		top	78
PPIL2	-1.10931129476584	-0.315522028878193	23759	PPIL2	PPIL2	-1.10931129476584	-0.315522028878193	0.793789265887647	18767	3388		top	241
IFIT5	-0.346468319559229	0.945668271010737	24138	IFIT5	IFIT5	-0.346468319559229	0.945668271010737	1.29213659056997	18985	11356		top	14
LMOD1	-0.120936639118457	0.634329877823029	25802	LMOD1	LMOD1	-0.120936639118457	0.634329877823029	0.755266516941486	18717	8396		top	62
TOR1AIP1	-0.743603305785124	0.188208071084783	26092	TOR1AIP1	TOR1AIP1	-0.743603305785124	0.188208071084783	0.931811376869907	18884	10266		top	174
FBXO4	-0.674490358126722	0.386467974824139	26272	FBXO4	FBXO4	-0.674490358126722	0.386467974824139	1.06095833295086	18949	3154		top	127
GNL3	-1.36187327823691	-0.135736764161422	26354	GNL3	GNL3	-1.36187327823691	-0.135736764161422	1.22613651407549	18981	3599		top	224
HEYL	-0.867239669421488	-0.00160773787486116	26508	HEYL	HEYL	-0.867239669421488	-0.00160773787486116	0.865631931546627	18838	13693		top	207
TRIB2	-0.232275482093664	0.525286930766383	28951	TRIB2	TRIB2	-0.232275482093664	0.525286930766383	0.757562412860047	18722	2413		top	86
MRPL22	-0.635724517906336	0.199759348389485	29093	MRPL22	MRPL22	-0.635724517906336	0.199759348389485	0.835483866295821	18815	3688		top	171
N6AMT1	-1.58347107438017	-0.392410218437616	29104	N6AMT1	N6AMT1	-1.58347107438017	-0.392410218437616	1.19106085594255	18975	7715		top	252
UQCR10	-1.22644628099174	-0.350583117363939	29796	UQCR10	UQCR10	-1.22644628099174	-0.350583117363939	0.875863163627796	18846	15039		top	245
SLC39A3	-0.559195592286501	0.458654202147353	29985	SLC39A3	SLC39A3	-0.559195592286501	0.458654202147353	1.01784979443385	18934	14541		top	109
VSX1	-0.212363636363636	0.582876712328767	30813	VSX1	VSX1	-0.212363636363636	0.582876712328767	0.795240348692403	18771	14135		top	73
PODXL2	-0.295801652892562	0.480146242132544	50512	PODXL2	PODXL2	-0.295801652892562	0.480146242132544	0.775947895025106	18746	16221		top	104
GEMIN4	-1.6195041322314	-0.737263976305072	50628	GEMIN4	GEMIN4	-1.6195041322314	-0.737263976305072	0.882240155926333	18851	7005		top	271
SLMO2	-1.10501377410468	-0.286421695668271	51012	SLMO2	SLMO2	-1.10501377410468	-0.286421695668271	0.818592078436412	18790	2207		top	238
EXOSC1	-0.807537190082645	0.139004072565716	51013	EXOSC1	EXOSC1	-0.807537190082645	0.139004072565716	0.946541262648361	18894	17663		top	185
ATL1	-0.109175757575758	0.661791928915217	51062	ATL1	ATL1	-0.109175757575758	0.661791928915217	0.770967686490974	18739	11716		top	53
SEPSECS	-0.645509641873278	0.169650129581636	51091	SEPSECS	SEPSECS	-0.645509641873278	0.169650129581636	0.815159771454915	18786	5306		top	180
SBDS	-2.01928374655647	-1.01453165494261	51119	SBDS	SBDS	-2.01928374655647	-1.01453165494261	1.00475209161386	18931	7512		top	278
TAOK3	-0.374754820936639	0.496723435764532	51347	TAOK3	TAOK3	-0.374754820936639	0.496723435764532	0.871478256701171	18843	12166		top	97
GPR89B	-1.22402203856749	-0.193752313957793	51463	GPR89B	GPR89B	-1.22402203856749	-0.193752313957793	1.0302697246097	18938	12673		top	229
CTDSPL2	-0.90700826446281	0.392336171788227	51496	CTDSPL2	CTDSPL2	-0.90700826446281	0.392336171788227	1.29934443625104	18986	6964		top	124
UFM1	-0.640066115702479	0.133098852276934	51569	UFM1	UFM1	-0.640066115702479	0.133098852276934	0.773164967979414	18742	16070		top	186
DPH5	-1.23228650137741	-0.389253980007405	51611	DPH5	DPH5	-1.23228650137741	-0.389253980007405	0.843032521370006	18825	4420		top	251
GINS2	-1.26831955922865	-0.47772121436505	51659	GINS2	GINS2	-1.26831955922865	-0.47772121436505	0.7905983448636	18763	9093		top	260
CAB39	-0.576506887052342	0.400647908182155	51719	CAB39	CAB39	-0.576506887052342	0.400647908182155	0.977154795234496	18914	17398		top	122
KCTD5	-0.253862258953168	1.90568308034061	54442	KCTD5	KCTD5	-0.253862258953168	1.90568308034061	2.15954533929378	19001	1401		top	2
EXOC6	-0.0455790633608815	0.827230655312847	54536	EXOC6	EXOC6	-0.0455790633608815	0.827230655312847	0.872809718673729	18844	13460		top	27
CNNM2	-1.00132231404959	0.142160310995927	54805	CNNM2	CNNM2	-1.00132231404959	0.142160310995927	1.14348262504551	18969	9074		top	184
C1orf109	-1.75768595041322	-0.819770455386894	54955	C1orf109	C1orf109	-1.75768595041322	-0.819770455386894	0.937915495026329	18890	16004		top	273
CPSF3L	-1.1465564738292	-0.224055905220289	54973	CPSF3L	CPSF3L	-1.1465564738292	-0.224055905220289	0.922500568608912	18879	8129		top	233
PINX1	-0.306953168044077	0.771205109218808	54984	PINX1	PINX1	-0.306953168044077	0.771205109218808	1.07815827726288	18954	10672		top	34
CCDC186	-0.179900826446281	0.737624953720844	55088	CCDC186	CCDC186	-0.179900826446281	0.737624953720844	0.917525780167125	18876	5659		top	40
MAGOHB	-0.76204958677686	0.0863680118474639	55110	MAGOHB	MAGOHB	-0.76204958677686	0.0863680118474639	0.848417598624323	18827	15035		top	197
