condition,replicate,day,volume,sen,res,gd
C4,R3,D14,10,9,0,2
C5,R1,D14,10,42,10,21
C5,R2,D14,10,29,3,27
C5,R3,D14,10,43,4,25
C6,R1,D14,10,67,728,27
C6,R2,D14,10,85,969,20
C6,R3,D14,10,73,626,12
C7,R1,D14,10,121,"1,501",12
C7,R2,D14,10,114,"1,741",5
C7,R3,D14,10,116,"1,605",9
C8,R1,D14,10,"1,427","42,354",0
C8,R2,D14,10,"1,633","41,759",1
C8,R3,D14,10,"1,787","44,647",0
C1,R1,D16,10,1,0,0
C1,R2,D16,10,2,0,0
C1,R3,D16,10,0,0,0
C2,R1,D16,10,1,0,0
C2,R2,D16,10,0,0,0
C2,R3,D16,10,1,0,0
C3,R1,D16,10,6,0,8
C3,R2,D16,10,5,0,3
C3,R3,D16,10,3,0,0
C4,R1,D16,10,4,0,0
C4,R2,D16,10,3,0,0
C4,R3,D16,10,2,0,0
C5,R1,D16,10,14,0,2
C5,R2,D16,10,19,0,2
C5,R3,D16,10,10,0,0
C6,R1,D16,10,33,222,0
C6,R2,D16,10,34,356,0
C6,R3,D16,10,37,193,0
C7,R1,D16,10,63,"2,080",0
C7,R2,D16,10,78,"2,543",0
C7,R3,D16,10,71,"1,436",0
C8,R1,D16,10,"1,656","56,479",1
C8,R2,D16,10,"1,839","47,257",0
C8,R3,D16,10,"2,171","44,166",1
C1,R1,D18,10,0,0,0
C1,R2,D18,10,1,0,0
C1,R3,D18,10,0,0,0
C2,R1,D18,10,1,0,1
C2,R2,D18,10,1,0,0
C2,R3,D18,10,0,0,1
C3,R1,D18,10,2,0,2
C3,R2,D18,10,4,0,3
C3,R3,D18,10,6,0,0
C4,R1,D18,10,1,0,0
C4,R2,D18,10,1,0,1
C4,R3,D18,10,2,0,1
C5,R1,D18,10,8,0,0
C5,R2,D18,10,3,0,0
C5,R3,D18,10,9,0,0
C6,R1,D18,10,13,14,0
C6,R2,D18,10,16,26,0
C6,R3,D18,10,14,12,0
C7,R1,D18,10,71,"3,635",0
C7,R2,D18,10,112,"5,119",0
C7,R3,D18,10,52,697,0
C8,R1,D18,10,"1,979","56,714",0
C8,R2,D18,10,"1,990","52,500",0
C8,R3,D18,10,"2,238","51,708",0
C1,R1,D20,10,0,0,0
C1,R2,D20,10,2,0,0
C1,R3,D20,10,0,0,0
C2,R1,D20,10,0,0,0
C2,R2,D20,10,3,0,0
C2,R3,D20,10,1,0,0
C3,R1,D20,10,2,0,0
C3,R2,D20,10,1,0,0
C3,R3,D20,10,1,0,1
C4,R1,D20,10,1,0,0
C4,R2,D20,10,1,0,0
C4,R3,D20,10,5,0,0
C5,R1,D20,10,3,0,0
